held_block,rule,chosen,holdout_mean,holdout_regret_mean,oracle,oracle_mean,gap_to_oracle,reference_mean
0,highest_mean,ckpt_seed2_150k,41789.492533965444,-2114.1466467764185,ckpt_seed0_200k,44776.72572754076,2987.2331935753173,43903.63918074186
0,highest_median,ckpt_seed0_050k,43321.409002587694,-582.2301781541682,ckpt_seed0_200k,44776.72572754076,1455.316724953067,43903.63918074186
0,highest_worst_fold,ckpt_seed3_300k,42219.31947405229,-1684.3197066895736,ckpt_seed0_200k,44776.72572754076,2557.4062534884724,43903.63918074186
0,risk_adjusted,ckpt_seed2_050k,43922.33810725737,18.698926515506173,ckpt_seed0_200k,44776.72572754076,854.3876202833926,43903.63918074186
0,lowest_downside,ckpt_seed2_050k,43922.33810725737,18.698926515506173,ckpt_seed0_200k,44776.72572754076,854.3876202833926,43903.63918074186
0,pareto,ckpt_seed0_050k,43321.409002587694,-582.2301781541682,ckpt_seed0_200k,44776.72572754076,1455.316724953067,43903.63918074186
1,highest_mean,ckpt_seed0_050k,57662.19528112676,-62.971911245724186,ckpt_seed2_300k,58990.03404697786,1327.8387658510983,57725.167192372486
1,highest_median,ckpt_seed2_050k,58381.671252776985,656.5040604044989,ckpt_seed2_300k,58990.03404697786,608.3627942008752,57725.167192372486
1,highest_worst_fold,ckpt_seed4_100k,57561.578565216085,-163.58862715640134,ckpt_seed2_300k,58990.03404697786,1428.4554817617754,57725.167192372486
1,risk_adjusted,ckpt_seed2_050k,58381.671252776985,656.5040604044989,ckpt_seed2_300k,58990.03404697786,608.3627942008752,57725.167192372486
1,lowest_downside,ckpt_seed2_050k,58381.671252776985,656.5040604044989,ckpt_seed2_300k,58990.03404697786,608.3627942008752,57725.167192372486
1,pareto,ckpt_seed2_050k,58381.671252776985,656.5040604044989,ckpt_seed2_300k,58990.03404697786,608.3627942008752,57725.167192372486
2,highest_mean,ckpt_seed0_050k,47440.45658215094,-1505.5277536927751,ckpt_seed3_300k,49226.88877003673,1786.4321878857882,48945.984335843714
2,highest_median,ckpt_seed0_050k,47440.45658215094,-1505.5277536927751,ckpt_seed3_300k,49226.88877003673,1786.4321878857882,48945.984335843714
2,highest_worst_fold,ckpt_seed0_200k,43385.73870460954,-5560.245631234175,ckpt_seed3_300k,49226.88877003673,5841.150065427188,48945.984335843714
2,risk_adjusted,ckpt_seed0_050k,47440.45658215094,-1505.5277536927751,ckpt_seed3_300k,49226.88877003673,1786.4321878857882,48945.984335843714
2,lowest_downside,ckpt_seed0_050k,47440.45658215094,-1505.5277536927751,ckpt_seed3_300k,49226.88877003673,1786.4321878857882,48945.984335843714
2,pareto,ckpt_seed0_050k,47440.45658215094,-1505.5277536927751,ckpt_seed3_300k,49226.88877003673,1786.4321878857882,48945.984335843714
3,highest_mean,ckpt_seed2_150k,52507.67338532551,-494.3811632992001,ckpt_seed0_050k,54765.71197592476,2258.0385905992516,53002.05454862471
3,highest_median,ckpt_seed0_150k,53629.83562882625,627.7810802015447,ckpt_seed0_050k,54765.71197592476,1135.8763470985068,53002.05454862471
3,highest_worst_fold,ckpt_seed4_100k,51632.42284171619,-1369.6317069085198,ckpt_seed0_050k,54765.71197592476,3133.2891342085713,53002.05454862471
3,risk_adjusted,ckpt_seed2_050k,54483.84215222574,1481.7876036010348,ckpt_seed0_050k,54765.71197592476,281.8698236990167,53002.05454862471
3,lowest_downside,ckpt_seed2_050k,54483.84215222574,1481.7876036010348,ckpt_seed0_050k,54765.71197592476,281.8698236990167,53002.05454862471
3,pareto,ckpt_seed2_050k,54483.84215222574,1481.7876036010348,ckpt_seed0_050k,54765.71197592476,281.8698236990167,53002.05454862471
4,highest_mean,ckpt_seed2_050k,67735.20614744166,1172.9602910598478,ckpt_seed2_150k,72557.45832860253,4822.252181160875,66562.2458563818
4,highest_median,ckpt_seed1_250k,64071.592241655904,-2490.653614725903,ckpt_seed2_150k,72557.45832860253,8485.866086946626,66562.2458563818
4,highest_worst_fold,ckpt_seed4_100k,63595.50006573684,-2966.745790644971,ckpt_seed2_150k,72557.45832860253,8961.958262865694,66562.2458563818
4,risk_adjusted,ckpt_seed2_050k,67735.20614744166,1172.9602910598478,ckpt_seed2_150k,72557.45832860253,4822.252181160875,66562.2458563818
4,lowest_downside,ckpt_seed2_050k,67735.20614744166,1172.9602910598478,ckpt_seed2_150k,72557.45832860253,4822.252181160875,66562.2458563818
4,pareto,ckpt_seed2_050k,67735.20614744166,1172.9602910598478,ckpt_seed2_150k,72557.45832860253,4822.252181160875,66562.2458563818
5,highest_mean,ckpt_seed2_150k,62335.19262863238,-1218.51964970259,ckpt_seed2_250k,63863.08230388935,1527.8896752569708,63553.71227833497
5,highest_median,ckpt_seed2_150k,62335.19262863238,-1218.51964970259,ckpt_seed2_250k,63863.08230388935,1527.8896752569708,63553.71227833497
5,highest_worst_fold,ckpt_seed4_100k,61689.55407146211,-1864.1582068728603,ckpt_seed2_250k,63863.08230388935,2173.528232427241,63553.71227833497
5,risk_adjusted,ckpt_seed2_050k,63854.88749985326,301.17522151829326,ckpt_seed2_250k,63863.08230388935,8.19480403608759,63553.71227833497
5,lowest_downside,ckpt_seed2_050k,63854.88749985326,301.17522151829326,ckpt_seed2_250k,63863.08230388935,8.19480403608759,63553.71227833497
5,pareto,ckpt_seed2_150k,62335.19262863238,-1218.51964970259,ckpt_seed2_250k,63863.08230388935,1527.8896752569708,63553.71227833497
